mode,seed,lr,batch_size,num_epochs,eval_strategy,eval_steps,train_time_sec,mae,r2,mae_analytic,r2_analytic,f1,auc,returncode
regression,42,0.001,256,10,step,200,3.32,0.5459481125002589,0.4151116843647006,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.001,256,30,step,200,4.89,0.5456363884209875,0.4150765135928737,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.001,512,10,step,200,3.23,0.5496638418767774,0.4130177116986897,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.001,512,30,step,200,4.13,0.5456580876778732,0.4150878510624407,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.002,256,10,step,200,3.49,0.5456815257585477,0.4150923666034749,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.002,256,30,step,200,4.69,0.5456506792791355,0.4150426187629024,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.002,512,10,step,200,3.24,0.5459484950728579,0.4151108851812435,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.002,512,30,step,200,4.1,0.5456351760161589,0.41507711102759803,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.005,256,10,step,200,3.56,0.5459054279538008,0.41498466078204177,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.005,256,30,step,200,4.84,0.5456641208127567,0.41486634933111544,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.005,512,10,step,200,3.29,0.545713974298801,0.4150791669499895,0.5457289462181703,0.4154027156992536,,,0
regression,42,0.005,512,30,step,200,4.08,0.5456512824369936,0.415019207118689,0.5457289462181703,0.4154027156992536,,,0
classification,42,0.0005,256,20,epoch,100,4.38,,,,,0.6342293906810036,0.7714830068750811,0
classification,42,0.0005,256,40,epoch,100,6.38,,,,,0.7370503597122302,0.8408257816950262,0
classification,42,0.0005,512,20,epoch,100,4.01,,,,,0.5029776275551263,0.6224624697558472,0
classification,42,0.0005,512,40,epoch,100,4.99,,,,,0.6342293906810036,0.7714840819877388,0
classification,42,0.001,256,20,epoch,100,4.55,,,,,0.7370503597122302,0.840820758627691,0
classification,42,0.001,256,40,epoch,100,6.42,,,,,0.7732185220982339,0.8579073478486466,0
classification,42,0.001,512,20,epoch,100,3.99,,,,,0.6342293906810036,0.7714899510453621,0
classification,42,0.001,512,40,epoch,100,4.96,,,,,0.7370503597122302,0.8408268391828864,0
classification,42,0.002,256,20,epoch,100,4.4,,,,,0.773286467486819,0.8578994519392917,0
classification,42,0.002,256,40,epoch,100,6.26,,,,,0.7856274952265232,0.86256188066461,0
classification,42,0.002,512,20,epoch,100,3.92,,,,,0.7370503597122302,0.840822926477804,0
classification,42,0.002,512,40,epoch,100,4.92,,,,,0.7732185220982339,0.8579074007230398,0
